Time: 2.2900
U[0] = 200.400000
U[1] = 0.400960
U[2] = 0.401920
U[3] = 0.402880
U[4] = 0.403840
U[5] = 0.404800
U[6] = 0.405760
U[7] = 0.406720
U[8] = 0.407680
U[9] = 0.408640
U[10] = 0.409600
U[11] = 0.410560
U[12] = 0.411520
U[13] = 0.412480
U[14] = 0.413440
U[15] = 0.414400
U[16] = 0.415360
U[17] = 0.416320
U[18] = 0.417280
U[19] = 0.418240
U[20] = 0.419200
U[21] = 0.420160
U[22] = 0.421120
U[23] = 0.422080
U[24] = 0.423040
U[25] = 0.424000
U[26] = 0.424960
U[27] = 0.425920
U[28] = 0.426880
U[29] = 0.427840
U[30] = 0.428800
U[31] = 0.429760
U[32] = 0.430720
U[33] = 0.431680
U[34] = 0.432640
U[35] = 0.433600
U[36] = 0.434560
U[37] = 0.435520
U[38] = 0.436480
U[39] = 0.437440
U[40] = 0.438400
U[41] = 0.439360
U[42] = 0.440320
U[43] = 0.441280
U[44] = 0.442240
U[45] = 0.443200
U[46] = 0.444160
U[47] = 0.445120
U[48] = 0.446080
U[49] = 0.447040
U[50] = 0.448000
U[51] = 0.448960
U[52] = 0.449920
U[53] = 0.450880
U[54] = 0.451840
U[55] = 0.452800
U[56] = 0.453760
U[57] = 0.454720
U[58] = 0.455680
U[59] = 0.456640
U[60] = 0.457600
U[61] = 0.458560
U[62] = 0.459520
U[63] = 0.460480
U[64] = 0.461440
U[65] = 0.462400
U[66] = 0.463360
U[67] = 0.464320
U[68] = 0.465280
U[69] = 0.466240
U[70] = 0.467200
U[71] = 0.468160
U[72] = 0.469120
U[73] = 0.470080
U[74] = 0.471040
U[75] = 0.472000
U[76] = 0.472960
U[77] = 0.473920
U[78] = 0.474880
U[79] = 0.475840
U[80] = 0.476800
U[81] = 0.477760
U[82] = 0.478720
U[83] = 0.479680
U[84] = 0.480640
U[85] = 0.481600
U[86] = 0.482560
U[87] = 0.483520
U[88] = 0.484480
U[89] = 0.485440
U[90] = 0.486400
U[91] = 0.487360
U[92] = 0.488320
U[93] = 0.489280
U[94] = 0.490240
U[95] = 0.491200
U[96] = 0.492160
U[97] = 0.493120
U[98] = 0.494080
U[99] = 0.495040
U[100] = 0.496000
U[101] = 0.496960
U[102] = 0.497920
U[103] = 0.498880
U[104] = 0.499840
U[105] = 0.500800
U[106] = 0.501760
U[107] = 0.502720
U[108] = 0.503680
U[109] = 0.504640
U[110] = 0.505600
U[111] = 0.506560
U[112] = 0.507520
U[113] = 0.508480
U[114] = 0.509440
U[115] = 0.510400
U[116] = 0.511360
U[117] = 0.512320
U[118] = 0.513280
U[119] = 0.514240
U[120] = 0.515200
U[121] = 0.516160
U[122] = 0.517120
U[123] = 0.518080
U[124] = 0.519040
U[125] = 0.520000
U[126] = 0.520960
U[127] = 0.521920
U[128] = 0.522880
U[129] = 0.523840
U[130] = 0.524800
U[131] = 0.525760
U[132] = 0.526720
U[133] = 0.527680
U[134] = 0.528640
U[135] = 0.529600
U[136] = 0.530560
U[137] = 0.531520
U[138] = 0.532480
U[139] = 0.533440
U[140] = 0.534400
U[141] = 0.535360
U[142] = 0.536320
U[143] = 0.537280
U[144] = 0.538240
U[145] = 0.539200
U[146] = 0.540160
U[147] = 0.541120
U[148] = 0.542080
U[149] = 0.543040
U[150] = 0.544000
U[151] = 0.544960
U[152] = 0.545920
U[153] = 0.546880
U[154] = 0.547840
U[155] = 0.548800
U[156] = 0.549760
U[157] = 0.550720
U[158] = 0.551680
U[159] = 0.552640
U[160] = 0.553600
U[161] = 0.554560
U[162] = 0.555520
U[163] = 0.556480
U[164] = 0.557440
U[165] = 0.558400
U[166] = 0.559360
U[167] = 0.560320
U[168] = 0.561280
U[169] = 0.562240
U[170] = 0.563200
U[171] = 0.564160
U[172] = 0.565120
U[173] = 0.566080
U[174] = 0.567040
U[175] = 0.568000
U[176] = 0.568960
U[177] = 0.569920
U[178] = 0.570880
U[179] = 0.571840
U[180] = 0.572800
U[181] = 0.573760
U[182] = 0.574720
U[183] = 0.575680
U[184] = 0.576640
U[185] = 0.577600
U[186] = 0.578560
U[187] = 0.579520
U[188] = 0.580480
U[189] = 0.581440
U[190] = 0.582400
U[191] = 0.583360
U[192] = 0.584320
U[193] = 0.585280
U[194] = 0.586240
U[195] = 0.587200
U[196] = 0.588160
U[197] = 0.589120
U[198] = 0.590080
U[199] = 0.591040
U[200] = 0.592000
U[201] = 0.592960
U[202] = 0.593920
U[203] = 0.594880
U[204] = 0.595840
U[205] = 0.596800
U[206] = 0.597760
U[207] = 0.598720
U[208] = 0.599680
U[209] = 0.600640
U[210] = 0.601600
U[211] = 0.602560
U[212] = 0.603520
U[213] = 0.604480
U[214] = 0.605440
U[215] = 0.606400
U[216] = 0.607360
U[217] = 0.608320
U[218] = 0.609280
U[219] = 0.610240
U[220] = 0.611200
U[221] = 0.612160
U[222] = 0.613120
U[223] = 0.614080
U[224] = 0.615040
U[225] = 0.616000
U[226] = 0.616960
U[227] = 0.617920
U[228] = 0.618880
U[229] = 0.619840
U[230] = 0.620800
U[231] = 0.621760
U[232] = 0.622720
U[233] = 0.623680
U[234] = 0.624640
U[235] = 0.625600
U[236] = 0.626560
U[237] = 0.627520
U[238] = 0.628480
U[239] = 0.629440
U[240] = 0.630400
U[241] = 0.631360
U[242] = 0.632320
U[243] = 0.633280
U[244] = 0.634240
U[245] = 0.635200
U[246] = 0.636160
U[247] = 0.637120
U[248] = 0.638080
U[249] = 0.639040
U[250] = 0.640000
U[251] = 0.640960
U[252] = 0.641920
U[253] = 0.642880
U[254] = 0.643840
U[255] = 0.644800
U[256] = 0.645760
U[257] = 0.646720
U[258] = 0.647680
U[259] = 0.648640
U[260] = 0.649600
U[261] = 0.650560
U[262] = 0.651520
U[263] = 0.652480
U[264] = 0.653440
U[265] = 0.654400
U[266] = 0.655360
U[267] = 0.656320
U[268] = 0.657280
U[269] = 0.658240
U[270] = 0.659200
U[271] = 0.660160
U[272] = 0.661120
U[273] = 0.662080
U[274] = 0.663040
U[275] = 0.664000
U[276] = 0.664960
U[277] = 0.665920
U[278] = 0.666880
U[279] = 0.667840
U[280] = 0.668800
U[281] = 0.669760
U[282] = 0.670720
U[283] = 0.671680
U[284] = 0.672640
U[285] = 0.673600
U[286] = 0.674560
U[287] = 0.675520
U[288] = 0.676480
U[289] = 0.677440
U[290] = 0.678400
U[291] = 0.679360
U[292] = 0.680320
U[293] = 0.681280
U[294] = 0.682240
U[295] = 0.683200
U[296] = 0.684160
U[297] = 0.685120
U[298] = 0.686080
